TYPE,TITLE,CONTENT,ACTORS,AGENT
STAGE,Planning – תכנון ויזום,"שלב הבסיס של כל פרויקט. מגדיר את המטרות העסקיות, גבולות הפרויקט, היתכנות טכנית ופיננסית, לוח זמנים ראשוני ומשאבים נדרשים. ללא תכנון מוצלח, כל השלבים הבאים עלולים להתפרק. השלב מסתיים עם מסמך Project Plan ואישור הנהלה להמשך.","מנהל פרויקט, מנמ""ר, מנהל אגף, לקוח עסקי","ארזסטרטור, סוכן PMO"
SUBSTAGE,יזום והגדרת צורך עסקי,"זיהוי הבעיה או ההזדמנות העסקית שמצדיקה את הפרויקט. מאיפה הצורך בא? מה הכאב שהמערכת אמורה לפתור? מתבצע דרך ראיונות עם בעלי עניין, ניתוח תהליכים קיימים ומיפוי פערים. הפלט הוא מסמך יזום ראשוני (Initiation Document).","מנהל פרויקט, לקוח עסקי, מנהל אגף","סוכן PMO, סוכן אפיון"
MINORSTAGE,ראיונות עם בעלי עניין,"פגישות אחד על אחד עם כל בעל עניין מרכזי. מטרה: להבין את הצורך מנקודת מבטו, מה הוא מצפה מהמערכת, מה מפריע לו היום. חשוב לתעד כל פגישה ולשלוח סיכום לאישור. בשלב זה לא מגיעים עם פתרון – מגיעים עם שאלות.","מנהל פרויקט, מנתח מערכות, לקוח עסקי",סוכן אפיון
MINORSTAGE,מיפוי תהליך קיים – As-Is,"תיעוד התהליך הנוכחי כפי שהוא קיים היום – ידני, מערכתי, או היברידי. כולל: מי עושה מה, באיזה סדר, עם אילו כלים, ואיפה נוצרים הצווארי בקבוק. הפלט הוא דיאגרמת תהליך As-Is עם הערות על נקודות כאב.","מנתח מערכות, לקוח עסקי, משתמשי קצה","סוכן אפיון, סוכן דוקומנטציה"
MINORSTAGE,הגדרת פערים – Gap Analysis,השוואה בין המצב הקיים (As-Is) לבין המצב הרצוי (To-Be). מה חסר? מה לא עובד? מה אפשר לשפר? הפלט הוא טבלת פערים שמהווה בסיס לדרישות הפרויקט.,"מנתח מערכות, מנהל פרויקט, לקוח עסקי",סוכן אפיון
SUBSTAGE,היתכנות וניהול סיכונים,"בדיקה האם הפרויקט ניתן לביצוע – טכנית, תקציבית, ארגונית. מזהים סיכונים מראש ומגדירים תוכנית מיטיגציה. הפלט הוא מסמך Feasibility Study + Risk Register.","מנהל פרויקט, ארכיטקט מערכות, מנמ""ר, לקוח עסקי","סוכן PMO, סוכן Make or Buy"
MINORSTAGE,היתכנות טכנית,"האם הטכנולוגיה הקיימת תומכת בפתרון? האם יש אינטגרציות מורכבות? האם נדרשת תשתית חדשה? כולל בדיקת כלי הפיתוח, הפלטפורמות (Salesforce, Outsystems וכו'), ורמת המורכבות הטכנית.","ארכיטקט מערכות, ראש צוות פיתוח","סוכן Make or Buy, סוכן פלטפורמה"
MINORSTAGE,היתכנות תקציבית,"הערכת עלויות ראשונית: כח אדם, רישיונות, תשתית, הטמעה, הדרכה. האם התקציב הקיים מספיק? מה ROI צפוי? הפלט הוא טבלת עלויות ראשונית.","מנהל פרויקט, מנמ""ר","סוכן PMO, סוכן Make or Buy"
MINORSTAGE,היתכנות ארגונית,האם הארגון מוכן לשינוי? האם יש כח אדם פנוי? האם יש התנגדויות צפויות? ניהול שינוי ארגוני הוא גורם כישלון נפוץ – חייב לזהות אותו מוקדם.,"מנהל פרויקט, PMO, לקוח עסקי",סוכן PMO
SUBSTAGE,החלטת Make or Buy,"אחת ההחלטות האסטרטגיות החשובות ביותר בפרויקט: האם לפתח בעצמנו, לרכוש מוצר מדף, לצאת למכרז, או היברידי. מתבסס על ניתוח עלות-תועלת, יכולות פנימיות, לוחות זמנים. תוצר: מסמך ADR מאושר.","מנהל פרויקט, מנמ""ר, ארכיטקט מערכות, PMO, לקוח עסקי","סוכן Make or Buy, ארזסטרטור"
